,Team,Position,Rank,PLAYER_NAME,Report,Impact
0,Atlanta Hawks,PG,0,Jeff Teague,,
1,Atlanta Hawks,PG,1,Dennis Schroder,,
2,Atlanta Hawks,PG,2,Kirk Hinrich,,
3,Atlanta Hawks,SG,3,Kyle Korver,,
4,Atlanta Hawks,SG,4,Tim Hardaway Jr,,
5,Atlanta Hawks,SF,5,Kent Bazemore,,
6,Atlanta Hawks,SF,6,Thabo Sefolosha,,
7,Atlanta Hawks,PF,7,Paul Millsap,,
8,Atlanta Hawks,PF,8,Mike Scott,,
9,Atlanta Hawks,PF,9,Mike Muscala,,
10,Atlanta Hawks,C,10,Al Horford,,
11,Atlanta Hawks,C,11,Walter Tavares,,
12,Atlanta Hawks,C,12,Tiago Splitter,"Tiago Splitter (hip) has begun riding an exercise bike, and he's now walking with just one crutch.","Splitter underwent season-ending hip surgery on February 26, so it's nice to see him already working on his conditioning less than a month removed from the surgery. He's going to miss the 2016 Olympic Games, and he might not be ready when the 2016-17 season begins."
13,Brooklyn Nets,PG,0,Shane Larkin,,
14,Brooklyn Nets,PG,1,Donald Sloan,,
15,Brooklyn Nets,PG,2,Jarrett Jack,Jarrett Jack (knee surgery) is expected to be cleared for basketball activities in about a month and a half.,"He was diagnosed with a torn right ACL and meniscus back in January, but initial reports indicated that he will be ready for the 2016-17 season. The Nets hold a team option on him worth $6.3 million, and he could be a starter again next season unless they bring in another point guard this summer. He averaged 12.8 points, 7.4 assists, 4.3 boards, 1.1 steals and 1.0 3-pointers in 32 games during the 2015-16 campaign."
16,Brooklyn Nets,SG,3,Wayne Ellington,,
17,Brooklyn Nets,SG,4,Sean Kilpatrick,,
18,Brooklyn Nets,SG,5,Markel Brown,,
19,Brooklyn Nets,SG,6,Rondae Hollis-Jefferson,,
20,Brooklyn Nets,SF,7,Bojan Bogdanovic,,
21,Brooklyn Nets,SF,8,Sergey Karasev,Sergey Karasev (personal) will not suit up for Wednesday's game against the Raptors.,"He's not a part of the rotation, so there's no fantasy spin here."
22,Brooklyn Nets,PF,9,Thaddeus Young,"Thaddeus Young has been shut down for the remainder of the season, joining Brook Lopez.","The Nets don't have anything left to play for, but it should be noted that Young is still healthy. The Nets want to get an extended look at the rest of their roster, so Thomas Robinson and Chris McCullough should see a bump in minutes at the four moving forward. Robinson needs to be added everywhere for his excellent rebounding numbers."
23,Brooklyn Nets,PF,10,Thomas Robinson,Thomas Robinson (knee) has been ruled out for Wednesday's game against the Raptors.,"Henry Sims and Chris McCullough figure to make up the Nets starting frontcourt on Wednesday sans Robinson, while Bojan Bogdanovic will likely spend some time at the four-spot. It's not a great matchup for Sims or McCullough, so those guys will be slightly risky punts in DFS on a 14-game Wednesday night, despite the increased opportunity. Robinson was excellent as a starter this season, so he'll likely be opting out of his contract in order to hit the open market as an unrestricted free agent this offseason."
24,Brooklyn Nets,PF,11,Chris McCullough,,
25,Brooklyn Nets,PF,12,Willie Reed,Willie Reed (personal) will not play again for Brooklyn this season.,"Reed is stepping away from a ton of opportunity with Brook Lopez (rest) and Thaddeus Young (rest) done for the year, and it's currently unclear exactly what's going on with his personal life. We wish him the best, but with Reed unavailable, Thomas Robinson, Chris McCullough and Henry Sims figure to log heavy minutes for the Nets, with Robinson offering the most upside out of the group."
26,Brooklyn Nets,C,13,Brook Lopez,"Sean Marks has assured Brook Lopez that he will be a building block for the franchise, and not a trade chip.","""He has talked to me, and we both definitely want to be here and see things happen here and help the team grow going forward,"" said Lopez. While Lopez will sit out the Nets final six games of the season for rest purposes, the 2015-16 season will mark Lopez' second consecutive year of sustained health after a brutal injury plagued three-year stretch. He'll make for a fine early-round selection in next year's fantasy drafts."
27,Brooklyn Nets,C,14,Henry Sims,,
28,Boston Celtics,PG,0,Isaiah Thomas,Isaiah Thomas vowed to be better next season.,"""I'm going to do whatever it takes to not have this feeling again because it really hurt me,"" Thomas said. ""I'm going to use that as motivation to continue to get better and work on my flaws and make those into my strengths. I promise you I'll be back better."" Thomas was a top-40 player in standard 9-cat leagues this season with averages of 22.2 points, 6.2 assists, 3.0 boards, 1.1 steals and 2.0 3-pointers, so he won't be cheap in fantasy drafts next season."
29,Boston Celtics,PG,1,Marcus Smart,,
30,Boston Celtics,PG,2,Terry Rozier,,
31,Boston Celtics,SG,3,Avery Bradley,Celtics GM Danny Ainge said that Avery Bradley (hamstring) likely wouldn't have returned in the postseason.,"""The hamstring injury Avery had, a Grade 1 strain, it’s risky,"" said Ainge. ""You want to be really careful with that because, if you get a second hamstring injury, then they sort of have a tendency to linger throughout your career. So we probably wouldn’t have let Avery go back out unless he was just 100 percent and felt absolutely nothing. But I think that was always a long shot."" Bradley will have plenty of time to recover this offseason and his stock should be pretty high in fantasy after averaging 15.2 points, 2.1 assists, 1.5 steals and 1.9 3-pointers this season."
32,Boston Celtics,SG,4,RJ Hunter,,
33,Boston Celtics,SG,5,John Holland,,
34,Boston Celtics,SF,6,Jae Crowder,,
35,Boston Celtics,SF,7,Evan Turner,,
36,Boston Celtics,SF,8,James Young,,
37,Boston Celtics,PF,9,Amir Johnson,,
38,Boston Celtics,PF,10,Jonas Jerebko,,
39,Boston Celtics,PF,11,Jordan Mickey,,
40,Boston Celtics,C,12,Jared Sullinger,,
41,Boston Celtics,C,13,Kelly Olynyk,,
42,Boston Celtics,C,14,Tyler Zeller,,
43,Charlotte Hornets,PG,0,Kemba Walker,,
44,Charlotte Hornets,PG,1,Jeremy Lin,,
45,Charlotte Hornets,PG,2,Jorge Gutierrez,,
46,Charlotte Hornets,PG,3,Aaron Harrison,,
47,Charlotte Hornets,SG,4,Courtney Lee,,
48,Charlotte Hornets,SG,5,Jeremy Lamb,,
49,Charlotte Hornets,SG,6,Troy Daniels,,
50,Charlotte Hornets,SF,7,Nicolas Batum,,
51,Charlotte Hornets,SF,8,Michael Kidd-Gilchrist,Michael Kidd-Gilchrist will undergo season-ending surgery to repair a torn labrum in his right shoulder on Wednesday.,"MKG can safely be sent to the waiver wire in all re-draft leagues with this report. Nicolas Batum is going to be forced to log heavy minutes with Kidd-Gilchrist out, with guys like Courtney Lee and Jeremy Lin also stepping up to help fill the void."
52,Charlotte Hornets,PF,9,Marvin Williams,,
53,Charlotte Hornets,PF,10,Frank Kaminsky,,
54,Charlotte Hornets,PF,11,Tyler Hansbrough,Tyler Hansbrough (back spasms) will not play in Game 7 vs. the Heat on Sunday.,"He isn't in the rotation anyways, so this won't have any fantasy implications."
55,Charlotte Hornets,C,12,Cody Zeller,,
56,Charlotte Hornets,C,13,Al Jefferson,,
57,Charlotte Hornets,C,14,Spencer Hawes,,
58,Chicago Bulls,PG,0,Derrick Rose,Derrick Rose isn't thinking about his impending free agency after the 2016-17 season.,"While Rose has one season left on his contract with the Bulls, he said he isn't thinking ahead to his upcoming free agency. ""I'll think about that when that time comes,"" Rose said. ""As far as right now, the only thing I can think about is this offseason. I've had that mentality ever since my injuries. I learned to deal with reality and live in the moment."" While Rose isn't the player he once was, he improved his game after the All-Star Break and is still just 27 years old, so he's worth a late-round flier in 2016-17 fantasy drafts."
59,Chicago Bulls,PG,1,Aaron Brooks,,
60,Chicago Bulls,SG,2,Jimmy Butler,,
61,Chicago Bulls,SG,3,E'Twaun Moore,E'Twaun Moore (left hamstring) will miss the remainder of the season.,"This was an expectation before it was made official, but now we can close the book on Moore's campaign. With he and Derrick Rose (rest) done for the year, it'll be the Aaron Brooks show at point guard the season's final two games, but expect Jimmy Butler to be the primary playmaker."
62,Chicago Bulls,SG,4,Justin Holiday,,
63,Chicago Bulls,SF,5,Mike Dunleavy,,
64,Chicago Bulls,SF,6,Doug McDermott,,
65,Chicago Bulls,SF,7,Tony Snell,,
66,Chicago Bulls,PF,8,Taj Gibson,Taj Gibson (ribs) and E'Twaun Moore (left hamstring) are out for the remainder of the season.,"It's not a surprise for either player, and the Bulls are simply making it official rather than dragging it out over the final two games of the year. Gibson's absence will open up a real opportunity for Cristiano Felicio with Pau Gasol's (knee) campaign also over, while Moore's continued stint on the sidelines will provide a clear path to minutes for Aaron Brooks with Derrick Rose's (rest) year also over."
67,Chicago Bulls,PF,9,Nikola Mirotic,,
