,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0021400669,1610612752,Knicks,NYK,New York,240,0.39,0.366,0.148,0.191,0.554,0.446,0.133,0.216
1,0021400669,1610612758,Kings,SAC,Sacramento,240,0.554,0.446,0.133,0.216,0.39,0.366,0.148,0.191
2,0021400801,1610612742,Mavericks,DAL,Dallas,240,0.412,0.187,0.176,0.255,0.456,0.286,0.235,0.457
3,0021400801,1610612760,Thunder,OKC,Oklahoma City,240,0.456,0.286,0.235,0.457,0.412,0.187,0.176,0.255
4,0021400802,1610612746,Clippers,LAC,Los Angeles,240,0.597,0.675,0.126,0.233,0.571,0.274,0.16,0.132
5,0021400802,1610612759,Spurs,SAS,San Antonio,240,0.571,0.274,0.16,0.132,0.597,0.675,0.126,0.233
6,0021400803,1610612740,Pelicans,NOP,New Orleans,240,0.457,0.406,0.139,0.175,0.523,0.068,0.099,0.214
7,0021400803,1610612753,Magic,ORL,Orlando,240,0.523,0.068,0.099,0.214,0.457,0.406,0.139,0.175
8,0021400804,1610612754,Pacers,IND,Indiana,240,0.53,0.265,0.152,0.22,0.452,0.345,0.18,0.3
9,0021400804,1610612755,76ers,PHI,Philadelphia,240,0.452,0.345,0.18,0.3,0.53,0.265,0.152,0.22
10,0021400805,1610612737,Hawks,ATL,Atlanta,240,0.375,0.239,0.223,0.315,0.516,0.083,0.142,0.3
11,0021400805,1610612761,Raptors,TOR,Toronto,240,0.516,0.083,0.142,0.3,0.375,0.239,0.223,0.315
12,0021400806,1610612741,Bulls,CHI,Chicago,240,0.455,0.282,0.211,0.295,0.488,0.393,0.121,0.268
13,0021400806,1610612765,Pistons,DET,Detroit,240,0.488,0.393,0.121,0.268,0.455,0.282,0.211,0.295
14,0021400807,1610612748,Heat,MIA,Miami,240,0.538,0.443,0.209,0.306,0.463,0.195,0.196,0.152
15,0021400807,1610612752,Knicks,NYK,New York,240,0.463,0.195,0.196,0.152,0.538,0.443,0.209,0.306
16,0021400808,1610612750,Timberwolves,MIN,Minnesota,240,0.488,0.442,0.14,0.354,0.489,0.348,0.132,0.333
17,0021400808,1610612756,Suns,PHX,Phoenix,240,0.489,0.348,0.132,0.333,0.488,0.442,0.14,0.354
18,0021400809,1610612739,Cavaliers,CLE,Cleveland,240,0.589,0.311,0.106,0.244,0.448,0.186,0.182,0.273
19,0021400809,1610612764,Wizards,WAS,Washington,240,0.448,0.186,0.182,0.273,0.589,0.311,0.106,0.244
20,0021400810,1610612742,Mavericks,DAL,Dallas,240,0.522,0.194,0.16,0.267,0.483,0.299,0.199,0.269
21,0021400810,1610612745,Rockets,HOU,Houston,240,0.483,0.299,0.199,0.269,0.522,0.194,0.16,0.267
22,0021400811,1610612743,Nuggets,DEN,Denver,240,0.399,0.25,0.159,0.264,0.455,0.282,0.174,0.184
23,0021400811,1610612749,Bucks,MIL,Milwaukee,240,0.455,0.282,0.174,0.184,0.399,0.25,0.159,0.264
24,0021400812,1610612757,Trail Blazers,POR,Portland,240,0.389,0.306,0.142,0.079,0.506,0.205,0.124,0.277
25,0021400812,1610612762,Jazz,UTA,Utah,240,0.506,0.205,0.124,0.277,0.389,0.306,0.142,0.079
26,0021400813,1610612738,Celtics,BOS,Boston,240,0.43,0.26,0.106,0.322,0.53,0.313,0.237,0.447
27,0021400813,1610612758,Kings,SAC,Sacramento,240,0.53,0.313,0.237,0.447,0.43,0.26,0.106,0.322
28,0021400814,1610612744,Warriors,GSW,Golden State,240,0.589,0.214,0.124,0.171,0.519,0.247,0.167,0.233
29,0021400814,1610612759,Spurs,SAS,San Antonio,240,0.519,0.247,0.167,0.233,0.589,0.214,0.124,0.171
30,0021400815,1610612747,Lakers,LAL,Los Angeles,240,0.483,0.326,0.102,0.298,0.528,0.27,0.113,0.289
31,0021400815,1610612751,Nets,BKN,Brooklyn,240,0.528,0.27,0.113,0.289,0.483,0.326,0.102,0.298
32,0021400816,1610612760,Thunder,OKC,Oklahoma City,240,0.468,0.274,0.138,0.388,0.468,0.215,0.09,0.216
33,0021400816,1610612766,Hornets,CHA,Charlotte,240,0.468,0.215,0.09,0.216,0.468,0.274,0.138,0.388
34,0021400817,1610612740,Pelicans,NOP,New Orleans,240,0.47,0.373,0.132,0.256,0.449,0.342,0.179,0.302
35,0021400817,1610612748,Heat,MIA,Miami,240,0.449,0.342,0.179,0.302,0.47,0.373,0.132,0.256
36,0021400818,1610612741,Bulls,CHI,Chicago,240,0.551,0.18,0.172,0.333,0.591,0.091,0.135,0.195
37,0021400818,1610612756,Suns,PHX,Phoenix,240,0.591,0.091,0.135,0.195,0.551,0.18,0.172,0.333
38,0021400819,1610612745,Rockets,HOU,Houston,240,0.452,0.369,0.224,0.256,0.351,0.364,0.233,0.146
39,0021400819,1610612761,Raptors,TOR,Toronto,240,0.351,0.364,0.233,0.146,0.452,0.369,0.224,0.256
40,0021400820,1610612746,Clippers,LAC,Los Angeles,240,0.558,0.295,0.102,0.212,0.364,0.523,0.153,0.246
41,0021400820,1610612758,Kings,SAC,Sacramento,240,0.364,0.523,0.153,0.246,0.558,0.295,0.102,0.212
42,0021400821,1610612739,Cavaliers,CLE,Cleveland,240,0.582,0.19,0.16,0.184,0.389,0.071,0.117,0.322
43,0021400821,1610612752,Knicks,NYK,New York,240,0.389,0.071,0.117,0.322,0.582,0.19,0.16,0.184
44,0021400822,1610612737,Hawks,ATL,Atlanta,240,0.454,0.241,0.2,0.348,0.472,0.25,0.258,0.229
45,0021400822,1610612749,Bucks,MIL,Milwaukee,240,0.472,0.25,0.258,0.229,0.454,0.241,0.2,0.348
46,0021400823,1610612764,Wizards,WAS,Washington,240,0.471,0.165,0.13,0.244,0.489,0.281,0.135,0.347
47,0021400823,1610612765,Pistons,DET,Detroit,240,0.489,0.281,0.135,0.347,0.471,0.165,0.13,0.244
48,0021400824,1610612744,Warriors,GSW,Golden State,240,0.433,0.247,0.105,0.25,0.531,0.284,0.151,0.179
49,0021400824,1610612754,Pacers,IND,Indiana,240,0.531,0.284,0.151,0.179,0.433,0.247,0.105,0.25
50,0021400825,1610612753,Magic,ORL,Orlando,240,0.512,0.317,0.156,0.286,0.545,0.218,0.22,0.297
51,0021400825,1610612755,76ers,PHI,Philadelphia,240,0.545,0.218,0.22,0.297,0.512,0.317,0.156,0.286
52,0021400826,1610612743,Nuggets,DEN,Denver,240,0.397,0.206,0.126,0.262,0.565,0.25,0.171,0.366
53,0021400826,1610612760,Thunder,OKC,Oklahoma City,240,0.565,0.25,0.171,0.366,0.397,0.206,0.126,0.262
54,0021400827,1610612742,Mavericks,DAL,Dallas,240,0.494,0.244,0.157,0.15,0.4,0.144,0.153,0.232
55,0021400827,1610612766,Hornets,CHA,Charlotte,240,0.4,0.144,0.153,0.232,0.494,0.244,0.157,0.15
56,0021400828,1610612757,Trail Blazers,POR,Portland,240,0.482,0.195,0.156,0.182,0.489,0.146,0.075,0.174
57,0021400828,1610612763,Grizzlies,MEM,Memphis,240,0.489,0.146,0.075,0.174,0.482,0.195,0.156,0.182
58,0021400829,1610612738,Celtics,BOS,Boston,265,0.469,0.276,0.157,0.245,0.554,0.452,0.16,0.146
59,0021400829,1610612747,Lakers,LAL,Los Angeles,265,0.554,0.452,0.16,0.146,0.469,0.276,0.157,0.245
60,0021400830,1610612748,Heat,MIA,Miami,240,0.62,0.265,0.172,0.314,0.554,0.333,0.121,0.209
61,0021400830,1610612755,76ers,PHI,Philadelphia,240,0.554,0.333,0.121,0.209,0.62,0.265,0.172,0.314
62,0021400831,1610612741,Bulls,CHI,Chicago,240,0.408,0.421,0.209,0.383,0.36,0.146,0.108,0.214
63,0021400831,1610612749,Bucks,MIL,Milwaukee,240,0.36,0.146,0.108,0.214,0.408,0.421,0.209,0.383
64,0021400832,1610612745,Rockets,HOU,Houston,240,0.479,0.362,0.155,0.367,0.36,0.419,0.182,0.37
65,0021400832,1610612750,Timberwolves,MIN,Minnesota,240,0.36,0.419,0.182,0.37,0.479,0.362,0.155,0.367
66,0021400833,1610612740,Pelicans,NOP,New Orleans,240,0.577,0.205,0.189,0.333,0.446,0.369,0.089,0.308
67,0021400833,1610612761,Raptors,TOR,Toronto,240,0.446,0.369,0.089,0.308,0.577,0.205,0.189,0.333
68,0021400834,1610612743,Nuggets,DEN,Denver,240,0.367,0.234,0.15,0.306,0.489,0.25,0.102,0.318
69,0021400834,1610612751,Nets,BKN,Brooklyn,240,0.489,0.25,0.102,0.318,0.367,0.234,0.15,0.306
70,0021400835,1610612738,Celtics,BOS,Boston,240,0.517,0.337,0.139,0.205,0.5,0.165,0.16,0.313
71,0021400835,1610612756,Suns,PHX,Phoenix,240,0.5,0.165,0.16,0.313,0.517,0.337,0.139,0.205
72,0021400836,1610612759,Spurs,SAS,San Antonio,240,0.437,0.266,0.224,0.24,0.434,0.277,0.137,0.256
73,0021400836,1610612762,Jazz,UTA,Utah,240,0.434,0.277,0.137,0.256,0.437,0.266,0.224,0.24
74,0021400837,1610612746,Clippers,LAC,Los Angeles,240,0.5,0.152,0.15,0.128,0.438,0.321,0.106,0.186
75,0021400837,1610612763,Grizzlies,MEM,Memphis,240,0.438,0.321,0.106,0.186,0.5,0.152,0.15,0.128
76,0021400838,1610612744,Warriors,GSW,Golden State,240,0.567,0.189,0.088,0.1,0.563,0.266,0.247,0.265
77,0021400838,1610612764,Wizards,WAS,Washington,240,0.563,0.266,0.247,0.265,0.567,0.189,0.088,0.1
78,0021400839,1610612739,Cavaliers,CLE,Cleveland,240,0.532,0.312,0.152,0.103,0.457,0.366,0.151,0.234
79,0021400839,1610612765,Pistons,DET,Detroit,240,0.457,0.366,0.151,0.234,0.532,0.312,0.152,0.103
80,0021400840,1610612754,Pacers,IND,Indiana,240,0.483,0.125,0.143,0.176,0.464,0.188,0.101,0.278
81,0021400840,1610612760,Thunder,OKC,Oklahoma City,240,0.464,0.188,0.101,0.278,0.483,0.125,0.143,0.176
82,0021400841,1610612742,Mavericks,DAL,Dallas,240,0.532,0.228,0.202,0.211,0.506,0.131,0.188,0.179
83,0021400841,1610612761,Raptors,TOR,Toronto,240,0.506,0.131,0.188,0.179,0.532,0.228,0.202,0.211
84,0021400842,1610612748,Heat,MIA,Miami,265,0.417,0.381,0.135,0.174,0.462,0.397,0.193,0.261
85,0021400842,1610612753,Magic,ORL,Orlando,265,0.462,0.397,0.193,0.261,0.417,0.381,0.135,0.174
86,0021400843,1610612737,Hawks,ATL,Atlanta,240,0.535,0.188,0.118,0.244,0.456,0.225,0.176,0.295
87,0021400843,1610612742,Mavericks,DAL,Dallas,240,0.456,0.225,0.176,0.295,0.535,0.188,0.118,0.244
88,0021400844,1610612738,Celtics,BOS,Boston,240,0.59,0.241,0.143,0.2,0.427,0.378,0.13,0.191
89,0021400844,1610612752,Knicks,NYK,New York,240,0.427,0.378,0.13,0.191,0.59,0.241,0.143,0.2
90,0021400845,1610612741,Bulls,CHI,Chicago,240,0.461,0.299,0.133,0.214,0.488,0.25,0.1,0.261
91,0021400845,1610612766,Hornets,CHA,Charlotte,240,0.488,0.25,0.1,0.261,0.461,0.299,0.133,0.214
92,0021400846,1610612745,Rockets,HOU,Houston,240,0.506,0.341,0.101,0.245,0.5,0.209,0.155,0.261
93,0021400846,1610612746,Clippers,LAC,Los Angeles,240,0.5,0.209,0.155,0.261,0.506,0.341,0.101,0.245
94,0021400847,1610612749,Bucks,MIL,Milwaukee,240,0.567,0.195,0.238,0.316,0.487,0.253,0.282,0.279
