,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
0,0021400669,1610612752,Knicks,NYK,New York,240,0.732,0.268,0.605,0.186,0.14,0.128,0.256,0.035,0.419,0.462,0.538,1.0,0.0,0.533,0.467
1,0021400669,1610612758,Kings,SAC,Sacramento,240,0.783,0.217,0.5,0.097,0.242,0.234,0.258,0.145,0.403,0.548,0.452,0.9,0.1,0.634,0.366
2,0021400801,1610612742,Mavericks,DAL,Dallas,240,0.703,0.297,0.539,0.09,0.303,0.169,0.157,0.326,0.449,0.333,0.667,0.889,0.111,0.485,0.515
3,0021400801,1610612760,Thunder,OKC,Oklahoma City,240,0.758,0.242,0.596,0.192,0.202,0.135,0.202,0.192,0.404,0.452,0.548,0.857,0.143,0.526,0.474
4,0021400802,1610612746,Clippers,LAC,Los Angeles,240,0.753,0.247,0.571,0.101,0.202,0.16,0.227,0.168,0.471,0.588,0.412,0.75,0.25,0.619,0.381
5,0021400802,1610612759,Spurs,SAS,San Antonio,240,0.667,0.333,0.574,0.174,0.261,0.061,0.165,0.122,0.4,0.758,0.242,0.9,0.1,0.791,0.209
6,0021400803,1610612740,Pelicans,NOP,New Orleans,240,0.725,0.275,0.571,0.143,0.179,0.095,0.25,0.119,0.429,0.708,0.292,0.8,0.2,0.724,0.276
7,0021400803,1610612753,Magic,ORL,Orlando,240,0.795,0.205,0.842,0.168,0.126,0.158,0.032,0.189,0.674,0.475,0.525,0.75,0.25,0.5,0.5
8,0021400804,1610612754,Pacers,IND,Indiana,240,0.735,0.265,0.604,0.264,0.226,0.179,0.17,0.264,0.34,0.531,0.469,0.875,0.125,0.6,0.4
9,0021400804,1610612755,76ers,PHI,Philadelphia,240,0.702,0.298,0.547,0.105,0.253,0.189,0.2,0.232,0.442,0.423,0.577,0.875,0.125,0.529,0.471
10,0021400805,1610612737,Hawks,ATL,Atlanta,240,0.568,0.432,0.525,0.2,0.3,0.275,0.175,0.138,0.325,0.571,0.429,0.875,0.125,0.655,0.345
11,0021400805,1610612761,Raptors,TOR,Toronto,240,0.688,0.313,0.571,0.114,0.371,0.152,0.057,0.286,0.457,0.567,0.433,0.769,0.231,0.628,0.372
12,0021400806,1610612741,Bulls,CHI,Chicago,240,0.795,0.205,0.615,0.11,0.165,0.165,0.22,0.121,0.505,0.464,0.536,0.6,0.4,0.485,0.515
