,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GAME_ID,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH,DATE,IS_REGULAR_SEASON
0,101106,Andrew Bogut,1610612744,GSW,0021500003,1,1,0,19.0,12.0,40.0,27.0,1.1,1.6,0.5,0.3,4.0,7.0,6.0,0.0,1.429,1.333,2015-10-27,1
1,101106,Andrew Bogut,1610612744,GSW,0021500104,1,1,0,19.0,8.0,42.0,28.0,1.1,1.5,0.3,0.19,3.0,4.0,3.0,0.0,1.0,1.333,2015-11-09,1
2,101106,Andrew Bogut,1610612744,GSW,0021500120,1,1,0,15.0,3.0,28.0,17.0,0.7,1.6,0.6,0.107,4.0,1.0,2.0,0.5,1.0,0.5,2015-11-11,1
3,101106,Andrew Bogut,1610612744,GSW,0021500125,1,1,0,21.0,4.0,46.0,26.0,1.1,1.4,0.4,0.087,3.0,1.0,1.0,0.0,2.0,2.0,2015-11-12,1
4,101106,Andrew Bogut,1610612744,GSW,0021500144,1,1,0,32.0,10.0,63.0,32.0,1.6,1.5,0.3,0.159,3.0,4.0,2.0,0.0,1.5,2.0,2015-11-14,1
5,101106,Andrew Bogut,1610612744,GSW,0021500164,1,1,0,17.0,13.0,32.0,17.0,0.7,1.3,0.3,0.406,2.0,5.0,5.0,0.0,1.2,1.2,2015-11-17,1
6,101106,Andrew Bogut,1610612744,GSW,0021500177,1,1,0,20.0,2.0,40.0,19.0,1.0,1.5,0.3,0.05,4.0,2.0,1.0,0.0,0.0,0.0,2015-11-19,1
7,101106,Andrew Bogut,1610612744,GSW,0021500187,1,1,0,18.0,3.0,31.0,18.0,1.1,2.2,0.5,0.097,1.0,4.0,3.0,0.0,0.25,0.333,2015-11-20,1
8,101106,Andrew Bogut,1610612744,GSW,0021500200,1,1,0,18.0,8.0,31.0,18.0,0.9,1.8,0.8,0.258,1.0,3.0,4.0,0.0,1.333,1.5,2015-11-22,1
9,101106,Andrew Bogut,1610612744,GSW,0021500214,1,1,0,21.0,8.0,40.0,22.0,0.9,1.3,0.4,0.2,2.0,7.0,6.0,0.0,0.857,1.0,2015-11-24,1
10,101106,Andrew Bogut,1610612744,GSW,0021500236,1,1,0,13.0,7.0,19.0,11.0,0.3,1.0,0.1,0.368,1.0,3.0,3.0,2.0,0.667,0.667,2015-11-27,1
11,101106,Andrew Bogut,1610612744,GSW,0021500245,1,1,0,20.0,4.0,26.0,11.0,0.6,1.3,0.1,0.154,0.0,3.0,2.0,0.0,1.333,2.0,2015-11-28,1
